GB-GOR,UK Government organisation name,Website,Status,CO2 emissions (g),Website carbon link,Date last checked
OT411,Defence Sixth Form College,http://www.dsfc.ac.uk,,0.43,,2021-12-23
OT1206,Defence and Security Accelerator,https://gov.uk/government/organisations/defence-and-security-accelerator,,0.87,,2021-12-23
OT1153,Defence and Security Media Advisory Committee,http://www.dsma.uk/,,0.96,,2021-12-23
D1198,"Department for Business, Energy &amp; Industrial Strategy",https://gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy,,1.31,,2021-12-23
OT1173,Department for Communities (Northern Ireland),https://www.communities-ni.gov.uk/,,0.27,,2021-12-23
D5,"Department for Digital, Culture, Media &amp; Sport",https://gov.uk/government/organisations/department-for-digital-culture-media-sport,,1.35,,2021-12-23
D6,Department for Education,https://gov.uk/government/organisations/department-for-education,,1.45,,2021-12-23
D7,Department for Environment Food &amp; Rural Affairs,https://gov.uk/government/organisations/department-for-environment-food-rural-affairs,,1.07,,2021-12-23
OT1176,Department for Infrastructure (Northern Ireland),https://www.infrastructure-ni.gov.uk/,,0.27,,2021-12-23
D1196,Department for International Trade,https://gov.uk/government/organisations/department-for-international-trade,,1.64,,2021-12-23
D1342,"Department for Levelling Up, Housing and Communities",https://gov.uk/government/organisations/department-for-levelling-up-housing-and-communities,,2.49,,2021-12-23
D9,Department for Transport,https://gov.uk/government/organisations/department-for-transport,,1.32,,2021-12-23
D10,Department for Work &amp; Pensions,https://gov.uk/government/organisations/department-for-work-pensions,,1.61,,2021-12-23
OT1174,Department for the Economy (Northern Ireland),https://www.economy-ni.gov.uk/,,0.32,,2021-12-23
OT1178,"Department of Agriculture, Environment and Rural Affairs (Northern Ireland)",https://www.daera-ni.gov.uk/,,0.28,,2021-12-23
D585,Department of Education (Northern Ireland),https://www.education-ni.gov.uk/,,0.25,,2021-12-23
OT1177,Department of Finance (Northern Ireland),https://www.finance-ni.gov.uk/,,0.24,,2021-12-23
D12,Department of Health &amp; Social Care,https://gov.uk/government/organisations/department-of-health-and-social-care,,1.26,,2021-12-23
OT1175,Department of Health (Northern Ireland),https://www.health-ni.gov.uk/,,0.26,,2021-12-23
D1073,Department of Justice (Northern Ireland),https://www.justice-ni.gov.uk/,,0.24,,2021-12-23
OT1259,DfT OLR Holdings Limited,https://gov.uk/government/organisations/dft-olr-holdings-limited,,0.46,,2021-12-23
OT1182,"Digital, Data and Technology Profession",https://gov.uk/government/organisations/digital-data-and-technology-profession,,0.27,,2021-12-23
PB459,Directly Operated Railways Limited,http://webarchive.nationalarchives.gov.uk/20151215172524/http://www.directlyoperatedrailways.co.uk/html/index.php,,0.46,,2021-12-23
